slug,title,discoteca_slug,subtitle,description,event_type,start_at,end_at,door_open_at,currency,price_from,price_to,tickets_url,poster_url,status,active,source,metadata
amnesia-20260502-elrow,elrow @ 02 May 2026,amnesia,Lineup loco,elrow en amnesia - 02/05/2026,event,2026-05-02T23:59:00Z,2026-05-03T06:00:00Z,2026-05-02T23:00:00Z,EUR,55,130,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
dc10-20260502-circoloco,Circoloco @ 02 May 2026,dc10,Lineup TBA,Circoloco en dc10 - 02/05/2026,event,2026-05-02T23:59:00Z,2026-05-03T06:00:00Z,2026-05-02T23:00:00Z,EUR,55,140,https://dc10.com/tickets,https://images.ibizaglam.app/dc10-event.jpg,scheduled,true,manual,{}
eden-20260502-defected,Defected @ 02 May 2026,eden,Lineup TBA,Defected en eden - 02/05/2026,event,2026-05-02T23:59:00Z,2026-05-03T06:00:00Z,2026-05-02T23:00:00Z,EUR,40,90,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260503-swedish-house-mafia,Swedish House Mafia @ 03 May 2026,ushuaia,SHM,Swedish House Mafia en ushuaia - 03/05/2026,event,2026-05-03T23:59:00Z,2026-05-04T06:00:00Z,2026-05-03T23:00:00Z,EUR,75,180,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260503-the-anarchist,The Anarchist @ 03 May 2026,hi-ibiza,Lineup TBA,The Anarchist en hi-ibiza - 03/05/2026,event,2026-05-03T23:59:00Z,2026-05-04T06:00:00Z,2026-05-03T23:00:00Z,EUR,55,130,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260503-solomun-+1,Solomun +1 @ 03 May 2026,pacha,Solomun,Solomun +1 en pacha - 03/05/2026,event,2026-05-03T23:59:00Z,2026-05-04T06:00:00Z,2026-05-03T23:00:00Z,EUR,60,140,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260503-carl-cox,Carl Cox @ 03 May 2026,unvrs,Carl Cox all-night-long,Carl Cox en unvrs - 03/05/2026,event,2026-05-03T23:59:00Z,2026-05-04T06:00:00Z,2026-05-03T23:00:00Z,EUR,75,190,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260503-together,Together @ 03 May 2026,amnesia,Lineup TBA,Together en amnesia - 03/05/2026,event,2026-05-03T23:59:00Z,2026-05-04T06:00:00Z,2026-05-03T23:00:00Z,EUR,50,120,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
ushuaia-20260504-f***-me-im-famous,F*** ME I'M FAMOUS! @ 04 May 2026,ushuaia,David Guetta & Friends,F*** ME I'M FAMOUS! en ushuaia - 04/05/2026,event,2026-05-04T23:59:00Z,2026-05-05T06:00:00Z,2026-05-04T23:00:00Z,EUR,65,150,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260504-solèy,Solèy @ 04 May 2026,hi-ibiza,Francis Mercier & Guests,Solèy en hi-ibiza - 04/05/2026,event,2026-05-04T23:59:00Z,2026-05-05T06:00:00Z,2026-05-04T23:00:00Z,EUR,60,140,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260504-sonny-fodera,Sonny Fodera @ 04 May 2026,pacha,Sonny Fodera & Friends,Sonny Fodera en pacha - 04/05/2026,event,2026-05-04T23:59:00Z,2026-05-05T06:00:00Z,2026-05-04T23:00:00Z,EUR,45,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260504-experts-only,Experts Only @ 04 May 2026,unvrs,John Summit,Experts Only en unvrs - 04/05/2026,event,2026-05-04T23:59:00Z,2026-05-05T06:00:00Z,2026-05-04T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
dc10-20260504-circoloco,Circoloco @ 04 May 2026,dc10,Lineup TBA,Circoloco en dc10 - 04/05/2026,event,2026-05-04T23:59:00Z,2026-05-05T06:00:00Z,2026-05-04T23:00:00Z,EUR,50,130,https://dc10.com/tickets,https://images.ibizaglam.app/dc10-event.jpg,scheduled,true,manual,{}
ushuaia-20260505-calvin-harris,Calvin Harris @ 05 May 2026,ushuaia,Calvin Harris,Calvin Harris en ushuaia - 05/05/2026,event,2026-05-05T23:59:00Z,2026-05-06T06:00:00Z,2026-05-05T23:00:00Z,EUR,80,200,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260505-eastenderz,eastenderz @ 05 May 2026,hi-ibiza,East End Dubs & Guests,eastenderz en hi-ibiza - 05/05/2026,event,2026-05-05T23:59:00Z,2026-05-06T06:00:00Z,2026-05-05T23:00:00Z,EUR,55,130,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260505-vintage-culture,Vintage Culture @ 05 May 2026,pacha,Vintage Culture,Vintage Culture en pacha - 05/05/2026,event,2026-05-05T23:59:00Z,2026-05-06T06:00:00Z,2026-05-05T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260505-æden,ÆDEN @ 05 May 2026,unvrs,Anyma,ÆDEN en unvrs - 05/05/2026,event,2026-05-05T23:59:00Z,2026-05-06T06:00:00Z,2026-05-05T23:00:00Z,EUR,80,200,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260505-cocoon,Cocoon @ 05 May 2026,amnesia,Sven Väth,Cocoon en amnesia - 05/05/2026,event,2026-05-05T23:59:00Z,2026-05-06T06:00:00Z,2026-05-05T23:00:00Z,EUR,55,130,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
ushuaia-20260506-tomorrowland,Tomorrowland @ 06 May 2026,ushuaia,Dimitri Vegas & Like Mike,Tomorrowland en ushuaia - 06/05/2026,event,2026-05-06T23:59:00Z,2026-05-07T06:00:00Z,2026-05-06T23:00:00Z,EUR,70,160,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260506-our-house,OUR HOUSE @ 06 May 2026,hi-ibiza,MEDUZA + James Hype,OUR HOUSE en hi-ibiza - 06/05/2026,event,2026-05-06T23:59:00Z,2026-05-07T06:00:00Z,2026-05-06T23:00:00Z,EUR,65,150,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260506-abracadabra,Abracadabra @ 06 May 2026,pacha,BLOND:ISH & Friends,Abracadabra en pacha - 06/05/2026,event,2026-05-06T23:59:00Z,2026-05-07T06:00:00Z,2026-05-06T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260506-paradise,Paradise @ 06 May 2026,unvrs,Jamie Jones,Paradise en unvrs - 06/05/2026,event,2026-05-06T23:59:00Z,2026-05-07T06:00:00Z,2026-05-06T23:00:00Z,EUR,65,170,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
ushuaia-20260507-martin-garrix,Martin Garrix @ 07 May 2026,ushuaia,Martin Garrix,Martin Garrix en ushuaia - 07/05/2026,event,2026-05-07T23:59:00Z,2026-05-08T06:00:00Z,2026-05-07T23:00:00Z,EUR,70,160,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260507-bed,bed @ 07 May 2026,hi-ibiza,Lineup TBA,bed en hi-ibiza - 07/05/2026,event,2026-05-07T23:59:00Z,2026-05-08T06:00:00Z,2026-05-07T23:00:00Z,EUR,50,120,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260507-music-on,Music On @ 07 May 2026,pacha,Marco Carola,Music On en pacha - 07/05/2026,event,2026-05-07T23:59:00Z,2026-05-08T06:00:00Z,2026-05-07T23:00:00Z,EUR,55,130,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260507-fisher,FISHER @ 07 May 2026,unvrs,FISHER & Friends,FISHER en unvrs - 07/05/2026,event,2026-05-07T23:59:00Z,2026-05-08T06:00:00Z,2026-05-07T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
eden-20260507-toolroom,Toolroom @ 07 May 2026,eden,Lineup TBA,Toolroom en eden - 07/05/2026,event,2026-05-07T23:59:00Z,2026-05-08T06:00:00Z,2026-05-07T23:00:00Z,EUR,35,80,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260508-calvin-harris,Calvin Harris @ 08 May 2026,ushuaia,Calvin Harris,Calvin Harris en ushuaia - 08/05/2026,event,2026-05-08T23:59:00Z,2026-05-09T06:00:00Z,2026-05-08T23:00:00Z,EUR,80,200,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260508-dom-dolla,Dom Dolla @ 08 May 2026,hi-ibiza,Dom Dolla & Friends,Dom Dolla en hi-ibiza - 08/05/2026,event,2026-05-08T23:59:00Z,2026-05-09T06:00:00Z,2026-05-08T23:00:00Z,EUR,60,140,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260508-music-on,Music On @ 08 May 2026,pacha,Marco Carola,Music On en pacha - 08/05/2026,event,2026-05-08T23:59:00Z,2026-05-09T06:00:00Z,2026-05-08T23:00:00Z,EUR,55,130,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260508-galactic-circus,Galactic Circus @ 08 May 2026,unvrs,David Guetta,Galactic Circus en unvrs - 08/05/2026,event,2026-05-08T23:59:00Z,2026-05-09T06:00:00Z,2026-05-08T23:00:00Z,EUR,75,190,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260508-glitterbox,Glitterbox @ 08 May 2026,amnesia,Armand Van Helden,Glitterbox en amnesia - 08/05/2026,event,2026-05-08T23:59:00Z,2026-05-09T06:00:00Z,2026-05-08T23:00:00Z,EUR,60,140,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
eden-20260508-viva-warriors,Viva Warriors @ 08 May 2026,eden,Lineup TBA,Viva Warriors en eden - 08/05/2026,event,2026-05-08T23:59:00Z,2026-05-09T06:00:00Z,2026-05-08T23:00:00Z,EUR,35,80,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260509-ants,ANTS @ 09 May 2026,ushuaia,Lineup estelar,ANTS en ushuaia - 09/05/2026,event,2026-05-09T23:59:00Z,2026-05-10T06:00:00Z,2026-05-09T23:00:00Z,EUR,65,150,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260509-black-coffee,Black Coffee @ 09 May 2026,hi-ibiza,Black Coffee & Friends,Black Coffee en hi-ibiza - 09/05/2026,event,2026-05-09T23:59:00Z,2026-05-10T06:00:00Z,2026-05-09T23:00:00Z,EUR,65,150,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260509-robin-schulz,Robin Schulz @ 09 May 2026,pacha,Robin Schulz & Friends,Robin Schulz en pacha - 09/05/2026,event,2026-05-09T23:59:00Z,2026-05-10T06:00:00Z,2026-05-09T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260509-elrow,elrow @ 09 May 2026,unvrs,Enter the Wortex,elrow en unvrs - 09/05/2026,event,2026-05-09T23:59:00Z,2026-05-10T06:00:00Z,2026-05-09T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260509-elrow,elrow @ 09 May 2026,amnesia,Lineup loco,elrow en amnesia - 09/05/2026,event,2026-05-09T23:59:00Z,2026-05-10T06:00:00Z,2026-05-09T23:00:00Z,EUR,55,130,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
dc10-20260509-circoloco,Circoloco @ 09 May 2026,dc10,Lineup TBA,Circoloco en dc10 - 09/05/2026,event,2026-05-09T23:59:00Z,2026-05-10T06:00:00Z,2026-05-09T23:00:00Z,EUR,55,140,https://dc10.com/tickets,https://images.ibizaglam.app/dc10-event.jpg,scheduled,true,manual,{}
eden-20260509-defected,Defected @ 09 May 2026,eden,Lineup TBA,Defected en eden - 09/05/2026,event,2026-05-09T23:59:00Z,2026-05-10T06:00:00Z,2026-05-09T23:00:00Z,EUR,40,90,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260510-swedish-house-mafia,Swedish House Mafia @ 10 May 2026,ushuaia,SHM,Swedish House Mafia en ushuaia - 10/05/2026,event,2026-05-10T23:59:00Z,2026-05-11T06:00:00Z,2026-05-10T23:00:00Z,EUR,75,180,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260510-the-anarchist,The Anarchist @ 10 May 2026,hi-ibiza,Lineup TBA,The Anarchist en hi-ibiza - 10/05/2026,event,2026-05-10T23:59:00Z,2026-05-11T06:00:00Z,2026-05-10T23:00:00Z,EUR,55,130,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260510-solomun-+1,Solomun +1 @ 10 May 2026,pacha,Solomun,Solomun +1 en pacha - 10/05/2026,event,2026-05-10T23:59:00Z,2026-05-11T06:00:00Z,2026-05-10T23:00:00Z,EUR,60,140,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260510-carl-cox,Carl Cox @ 10 May 2026,unvrs,Carl Cox all-night-long,Carl Cox en unvrs - 10/05/2026,event,2026-05-10T23:59:00Z,2026-05-11T06:00:00Z,2026-05-10T23:00:00Z,EUR,75,190,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260510-together,Together @ 10 May 2026,amnesia,Lineup TBA,Together en amnesia - 10/05/2026,event,2026-05-10T23:59:00Z,2026-05-11T06:00:00Z,2026-05-10T23:00:00Z,EUR,50,120,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
ushuaia-20260511-f***-me-im-famous,F*** ME I'M FAMOUS! @ 11 May 2026,ushuaia,David Guetta & Friends,F*** ME I'M FAMOUS! en ushuaia - 11/05/2026,event,2026-05-11T23:59:00Z,2026-05-12T06:00:00Z,2026-05-11T23:00:00Z,EUR,65,150,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260511-solèy,Solèy @ 11 May 2026,hi-ibiza,Francis Mercier & Guests,Solèy en hi-ibiza - 11/05/2026,event,2026-05-11T23:59:00Z,2026-05-12T06:00:00Z,2026-05-11T23:00:00Z,EUR,60,140,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260511-sonny-fodera,Sonny Fodera @ 11 May 2026,pacha,Sonny Fodera & Friends,Sonny Fodera en pacha - 11/05/2026,event,2026-05-11T23:59:00Z,2026-05-12T06:00:00Z,2026-05-11T23:00:00Z,EUR,45,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260511-experts-only,Experts Only @ 11 May 2026,unvrs,John Summit,Experts Only en unvrs - 11/05/2026,event,2026-05-11T23:59:00Z,2026-05-12T06:00:00Z,2026-05-11T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
dc10-20260511-circoloco,Circoloco @ 11 May 2026,dc10,Lineup TBA,Circoloco en dc10 - 11/05/2026,event,2026-05-11T23:59:00Z,2026-05-12T06:00:00Z,2026-05-11T23:00:00Z,EUR,50,130,https://dc10.com/tickets,https://images.ibizaglam.app/dc10-event.jpg,scheduled,true,manual,{}
ushuaia-20260512-calvin-harris,Calvin Harris @ 12 May 2026,ushuaia,Calvin Harris,Calvin Harris en ushuaia - 12/05/2026,event,2026-05-12T23:59:00Z,2026-05-13T06:00:00Z,2026-05-12T23:00:00Z,EUR,80,200,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260512-eastenderz,eastenderz @ 12 May 2026,hi-ibiza,East End Dubs & Guests,eastenderz en hi-ibiza - 12/05/2026,event,2026-05-12T23:59:00Z,2026-05-13T06:00:00Z,2026-05-12T23:00:00Z,EUR,55,130,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260512-vintage-culture,Vintage Culture @ 12 May 2026,pacha,Vintage Culture,Vintage Culture en pacha - 12/05/2026,event,2026-05-12T23:59:00Z,2026-05-13T06:00:00Z,2026-05-12T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260512-æden,ÆDEN @ 12 May 2026,unvrs,Anyma,ÆDEN en unvrs - 12/05/2026,event,2026-05-12T23:59:00Z,2026-05-13T06:00:00Z,2026-05-12T23:00:00Z,EUR,80,200,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260512-cocoon,Cocoon @ 12 May 2026,amnesia,Sven Väth,Cocoon en amnesia - 12/05/2026,event,2026-05-12T23:59:00Z,2026-05-13T06:00:00Z,2026-05-12T23:00:00Z,EUR,55,130,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
ushuaia-20260513-tomorrowland,Tomorrowland @ 13 May 2026,ushuaia,Dimitri Vegas & Like Mike,Tomorrowland en ushuaia - 13/05/2026,event,2026-05-13T23:59:00Z,2026-05-14T06:00:00Z,2026-05-13T23:00:00Z,EUR,70,160,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260513-our-house,OUR HOUSE @ 13 May 2026,hi-ibiza,MEDUZA + James Hype,OUR HOUSE en hi-ibiza - 13/05/2026,event,2026-05-13T23:59:00Z,2026-05-14T06:00:00Z,2026-05-13T23:00:00Z,EUR,65,150,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260513-abracadabra,Abracadabra @ 13 May 2026,pacha,BLOND:ISH & Friends,Abracadabra en pacha - 13/05/2026,event,2026-05-13T23:59:00Z,2026-05-14T06:00:00Z,2026-05-13T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260513-paradise,Paradise @ 13 May 2026,unvrs,Jamie Jones,Paradise en unvrs - 13/05/2026,event,2026-05-13T23:59:00Z,2026-05-14T06:00:00Z,2026-05-13T23:00:00Z,EUR,65,170,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
ushuaia-20260514-martin-garrix,Martin Garrix @ 14 May 2026,ushuaia,Martin Garrix,Martin Garrix en ushuaia - 14/05/2026,event,2026-05-14T23:59:00Z,2026-05-15T06:00:00Z,2026-05-14T23:00:00Z,EUR,70,160,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260514-bed,bed @ 14 May 2026,hi-ibiza,Lineup TBA,bed en hi-ibiza - 14/05/2026,event,2026-05-14T23:59:00Z,2026-05-15T06:00:00Z,2026-05-14T23:00:00Z,EUR,50,120,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260514-music-on,Music On @ 14 May 2026,pacha,Marco Carola,Music On en pacha - 14/05/2026,event,2026-05-14T23:59:00Z,2026-05-15T06:00:00Z,2026-05-14T23:00:00Z,EUR,55,130,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260514-fisher,FISHER @ 14 May 2026,unvrs,FISHER & Friends,FISHER en unvrs - 14/05/2026,event,2026-05-14T23:59:00Z,2026-05-15T06:00:00Z,2026-05-14T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
eden-20260514-toolroom,Toolroom @ 14 May 2026,eden,Lineup TBA,Toolroom en eden - 14/05/2026,event,2026-05-14T23:59:00Z,2026-05-15T06:00:00Z,2026-05-14T23:00:00Z,EUR,35,80,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260515-calvin-harris,Calvin Harris @ 15 May 2026,ushuaia,Calvin Harris,Calvin Harris en ushuaia - 15/05/2026,event,2026-05-15T23:59:00Z,2026-05-16T06:00:00Z,2026-05-15T23:00:00Z,EUR,80,200,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260515-dom-dolla,Dom Dolla @ 15 May 2026,hi-ibiza,Dom Dolla & Friends,Dom Dolla en hi-ibiza - 15/05/2026,event,2026-05-15T23:59:00Z,2026-05-16T06:00:00Z,2026-05-15T23:00:00Z,EUR,60,140,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260515-music-on,Music On @ 15 May 2026,pacha,Marco Carola,Music On en pacha - 15/05/2026,event,2026-05-15T23:59:00Z,2026-05-16T06:00:00Z,2026-05-15T23:00:00Z,EUR,55,130,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260515-galactic-circus,Galactic Circus @ 15 May 2026,unvrs,David Guetta,Galactic Circus en unvrs - 15/05/2026,event,2026-05-15T23:59:00Z,2026-05-16T06:00:00Z,2026-05-15T23:00:00Z,EUR,75,190,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260515-glitterbox,Glitterbox @ 15 May 2026,amnesia,Armand Van Helden,Glitterbox en amnesia - 15/05/2026,event,2026-05-15T23:59:00Z,2026-05-16T06:00:00Z,2026-05-15T23:00:00Z,EUR,60,140,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
eden-20260515-viva-warriors,Viva Warriors @ 15 May 2026,eden,Lineup TBA,Viva Warriors en eden - 15/05/2026,event,2026-05-15T23:59:00Z,2026-05-16T06:00:00Z,2026-05-15T23:00:00Z,EUR,35,80,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260516-ants,ANTS @ 16 May 2026,ushuaia,Lineup estelar,ANTS en ushuaia - 16/05/2026,event,2026-05-16T23:59:00Z,2026-05-17T06:00:00Z,2026-05-16T23:00:00Z,EUR,65,150,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
