slug,name,service_type,phone,whatsapp,email,website_url,instagram_url,base_location,covers_island,short_description,full_description,active,source,metadata,price_per_day_min,price_per_day_max,vehicle_types,fleet_size,airport_presence,downtown_presence,insurance_included,free_cancellation,minimum_age,rating
hertz,Hertz,RENTAL,+34973311820,+34666778020,info@hertzibiza.com,https://hertz.com,hertz_ibiza,ibiza-ciudad,true,"Premium","Hertz ofrece vehículos de gama alta y servicio premium.",true,manual,{},45,200,"compacto,familiar,premium,deportivo,suv",400,true,true,true,true,25,4.4
avis,Avis,RENTAL,+34973311821,+34666778021,info@avisibiza.com,https://avis.com,avis_ibiza,ibiza-ciudad,true,"Flota variada","Avis tiene una amplia flota en el aeropuerto de Ibiza.",true,manual,{},35,160,"economico,compacto,familiar,premium,suv",550,true,true,true,true,21,4.2
enterprise,Enterprise,RENTAL,+34973311822,+34666778022,info@enterpriseibiza.com,https://enterprise.com,enterprise_ibiza,ibiza-ciudad,true,"Económico","Enterprise es conocida por sus precios competitivos.",true,manual,{},28,110,"economico,compacto,familiar",450,true,true,true,true,21,4.3
sixt,Sixt,RENTAL,+34973311823,+34666778023,info@sixtibiza.com,https://sixt.com,sixt_ibiza,ibiza-ciudad,true,"Gama premium","Sixt ofrece vehículos de lujo y deportivos.",true,manual,{},50,250,"premium,deportivo,suv,lujo",300,true,true,true,true,25,4.6
goldcar,Goldcar,RENTAL,+34973311824,+34666778024,info@goldcaribiza.com,https://goldcar.com,goldcar_ibiza,ibiza-ciudad,true,"Low cost","Goldcar es la opción low cost en el aeropuerto.",true,manual,{},20,80,"economico,compacto",400,true,true,false,false,21,3.5
ok-mobility,OK Mobility,RENTAL,+34973311825,+34666778025,info@okmobilityibiza.com,https://okmobility.com,okmobility_ibiza,ibiza-ciudad,true,"En crecimiento","OK Mobility está expandiéndose rápidamente en Ibiza.",true,manual,{},25,95,"economico,compacto,familiar",200,true,true,true,true,21,4.0
vanrell,Vanrell,RENTAL,+34973311826,+34666778026,info@vanrellibiza.com,https://vanrell.com,vanrell_ibiza,ibiza-ciudad,true,"Local","Vanrell es una empresa local con años de experiencia.",true,manual,{},32,110,"compacto,familiar",60,false,true,true,true,21,4.5
marratxi,Marratxi,RENTAL,+34973311827,+34666778027,info@marratxiibiza.com,https://marratxi.com,marratxi_ibiza,ibiza-ciudad,true,"Confianza local","Marratxi es una empresa balear con presencia en Ibiza.",true,manual,{},30,105,"economico,compacto",90,true,true,true,true,21,4.2
betacar,Betacar,RENTAL,+34973311828,+34666778028,info@betacaribiza.com,https://betacar.com,betacar_ibiza,ibiza-ciudad,true,"Online","Betacar opera principalmente online con buenos precios.",true,manual,{},22,85,"economico,compacto",150,false,false,true,true,21,4.1
dolores,Dolores Rent a Car,RENTAL,+34973311829,+34666778029,info@doloresrentacar.com,https://doloresrentacar.com,doloresrentacar,ibiza-ciudad,true,"Familiar","Empresa familiar con trato cercano.",true,manual,{},35,115,"compacto,familiar",40,false,true,true,true,21,4.7
boat-rental,Boat Rental Ibiza,BOAT,+34973311807,+34666778007,info@boatrentalibiza.com,https://boatrentalibiza.com,boatrentalibiza,ibiza-ciudad,true,"Alquiler de barcos","Alquiler de embarcaciones sin tripulación o con patrón.",true,manual,{},,,,,,,,,,,
yacht-charter,Yacht Charter Ibiza,BOAT,+34973311808,+34666778008,info@yachtcharteribiza.com,https://yachtcharteribiza.com,yachtcharteribiza,ibiza-ciudad,true,"Lujo en el mar","Alquiler de yates de lujo con tripulación incluida.",true,manual,{},,,,,,,,,,,
jet-ski,Jet Ski Ibiza,WATERSPORTS,+34973311809,+34666778009,info@jetskiibiza.com,https://jetskiibiza.com,jetskiibiza,playa-den-bossa,false,"Motos de agua","Alquiler de motos de agua y excursiones.",true,manual,{},,,,,,,,,,,
parasailing,Parasailing Ibiza,WATERSPORTS,+34973311810,+34666778010,info@parasailingibiza.com,https://parasailingibiza.com,parasailingibiza,playa-den-bossa,false,"Vuelo sobre el mar","Parasailing y deportes acuáticos en Playa d'en Bossa.",true,manual,{},,,,,,,,,,,
balearia,Balearia,FERRY,+34902100100,+34666778011,info@balearia.com,https://balearia.com,balearia,ibiza-ciudad,false,"Ferry a Formentera","La naviera principal para viajar a Formentera. Salidas desde Ibiza ciudad.",true,manual,{},,,,,,,,,,,
trasmediterranea,Trasmediterránea,FERRY,+34973456345,+34666778012,info@trasmediterranea.es,https://trasmediterranea.es,trasmediterranea,ibiza-ciudad,false,"Ferry histórico","Conexiones con Formentera y la península.",true,manual,{},,,,,,,,,,,
mediterranea-pitiusa,Mediterránea Pitiusa,FERRY,+34973311813,+34666778013,info@mediterraneapitiusa.com,https://mediterraneapitiusa.com,mediterraneapitiusa,ibiza-ciudad,false,"La línea amarilla","Ferrys rápidos a Formentera. Muy frecuentes en temporada.",true,manual,{},,,,,,,,,,,
aquabus,Aquabus,FERRY,+34973311814,+34666778014,info@aquabusibiza.com,https://aquabusibiza.com,aquabusibiza,ibiza-ciudad,false,"Water taxi","Taxi acuático entre las playas de Ibiza y Formentera.",true,manual,{},,,,,,,,,,,
formentera-express,Formentera Express,FERRY,+34973311815,+34666778015,info@formenteraexpress.com,https://formenteraexpress.com,formenteraexpress,ibiza-ciudad,false,"Rápido y económico","Ferry rápido con múltiples salidas diarias.",true,manual,{},,,,,,,,,,,
